id,year,region_id,ons_code,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
72,2020,7,E12000006,40217.565,24990.04,649504945.4,255299625.4,23498132643,133257284.5,6137026414,2130899280,32154615247
73,2005,5,E12000002,36530.88,22699.24,249401716.2,277993671.1,27505068552,347715466.2,4012362951,2185966129,34329106770
74,2002,10,E12000005,32403.59,20134.66,209298322.7,233260780.2,23497552579,318039943.9,3305615599,1941780270,29296249172
75,2012,8,E12000003,32015.05345,19893.23,285488534.5,224556506.2,20248983872,227026390.8,3704872570,1641344141,26046783480
76,2019,5,E12000002,37287.645,23169.47,343453706.6,232401202,32203624004,206103391.8,5914443789,1922915280,40479487667
77,1993,4,W92000004,32543.502,20221.59,81714929.19,104650966.5,11278778382,156287222.6,1452742156,735199514.8,13727658241
78,2007,4,W92000004,33861.24,21040.4,77750748.33,157646724.1,13861569935,181998238.8,2382495471,809962995.3,17393673364
79,2007,3,S92000003,59578.3,37020.24,149007672.2,202300466.3,21465058180,404053884.6,3805612460,1728023926,27605048917
80,1993,6,E12000007,14350.446,8916.95,272100966.6,358164818.1,15882516784,273427838.3,1928560010,640877762,19083547212
81,2003,2,E12000004,31259.7965,19423.94,225333305.1,262834130.6,19457980614,214882272.3,3022842053,1974042301,24932581372
82,2011,6,E12000007,14800.1,9196.36,359039836.8,430343219.5,15210519261,369613437.8,2479579125,627982307.2,19118037350
83,1999,11,E12000001,16016.8,9952.38,88270796.67,68750891.67,9488222607,203087576.7,1217981873,525847980.3,11503890929
84,2000,3,S92000003,59232.07,36805.1,150278999.6,155102914.5,19537517847,372225387.1,2853012288,1513907909,24431766345
85,2004,10,E12000005,32391.52,20127.16,193022669.1,229977786.4,23579051121,320197385.9,3631746196,2010995262,29771967751
86,1998,7,E12000006,39074.445,24279.73,358997166.5,295194643.9,25241944703,285220908.6,3747144169,1965836033,31535340458
87,2012,9,E12000008,47700.0928,29639.46,517408366.1,496098518.7,42188756230,315493194,7002198307,2211739568,52214285818
88,1997,5,E12000002,36277.832,22542,255775841,203900290.4,25620905660,374016211.6,3222952183,2068198247,31489972591
89,1998,9,E12000008,47085.863,29257.8,427020458.6,462196768.4,41040018146,436215970,5315612563,2389223861,49643267308
90,1996,1,E12000009,49006.318,30451.11,228385873.4,292439589,21073912129,264909134.4,2645210734,1399950692,25676422278
91,1997,6,E12000007,14488.181,9002.54,289071611.2,398619504,16229364578,314991087.1,2105300590,646065140.2,19694340900
92,2015,7,E12000006,39881.6,24781.28,482961905.5,318626934.9,28736667195,240967427.8,5698825307,2057308555,37052395419
93,2007,8,E12000003,32134.77,19967.62,232126461.3,251311056.9,20441090668,278135722.8,3743048295,1891175520,26604761263
94,2013,10,E12000005,32928.14867,20460.6,234290904.9,203224881.7,24118099550,275428520.4,4185186875,1747491720,30529431547
95,2010,1,E12000009,49904,31008.91,299681310.7,368456298.7,24497929851,281690347.4,4232386002,1356014339,30736476839
96,2014,5,E12000002,37025.72,23006.72,313116214.4,239002163.9,28737325255,313413037.3,4979778729,1858801547,36128320732
97,2002,4,W92000004,33080.49,20555.26,83532910.23,143998932.8,13155217593,173070386.1,1938876147,779298480.8,16190461540
98,2012,3,S92000003,59384.0782,36899.56,192521043.1,181273912.4,20993917265,361479708.6,3811818686,1533896656,26882386228
99,2013,11,E12000001,16223.52021,10080.83,92873535.54,69781224.77,9441044072,156341742.5,1595428414,432490834.2,11695086287
100,2015,2,E12000004,31483.29,19562.81,277919195,219499882.1,21095949291,181222773.6,4071064172,1901853158,27469589277
101,2000,9,E12000008,47310.48,29397.37,444265405.4,505461050.6,41907980706,420605117.7,5470073354,2551724681,50855844910
102,1996,7,E12000006,38918.554,24182.87,370674148.6,266592040,24592178928,272921271.6,3346413881,1886163812,30364269933
103,2009,6,E12000007,14800.6,9196.67,355481320.8,462065192.2,14866351046,370475465.4,2374791144,611868030.1,18685550878
104,2001,11,E12000001,16072.7,9987.11,90908392.41,76968211.79,9450334378,189029710.6,1229686147,521584244.3,11467602692
105,2005,3,S92000003,56863.38,35333.27,151130472.1,194477938.4,20826336713,364408313,3395358668,1639935090,26420516723
106,2009,4,W92000004,33851.4,21034.28,92637137.93,153229699.8,13669053214,173033685.3,2363986922,723052257.6,17082355778
107,2008,1,E12000009,49984.56,31058.97,278217541.6,409430580.8,25006194443,284169697.6,4241191289,1496723104,31437709114
108,2001,2,E12000004,31155.26,19358.98,211031370.5,213659641.3,18611723750,202419651,2728432457,1956596054,23712831553
109,2010,7,E12000006,39609.2,24612.02,444178794.1,310637858.4,26410508573,281805834.6,4829227312,1981774946,33813954524
110,1995,5,E12000002,36119.162,22443.41,260586893.2,195845412.8,24607346065,358115417.2,2988562669,1916712057,30066581621
111,2018,10,E12000005,33224.1187,20644.51,219340575.4,198227545.9,26399137204,212125901.7,5007257532,2012840736,33829588920
112,2002,8,E12000003,31700.36,19697.69,254593448.9,228382753.6,19684489912,260930201.5,2974262742,1821413300,24969478909
113,2009,5,E12000002,36979.6,22978.06,276682273.8,258446818.1,27642649143,325704016.9,4133871022,2067333276,34428004276
114,1997,4,W92000004,32776.256,20366.22,81156715.41,110376019,12227854002,174722240.2,1693571412,817278931,15023802605
115,2017,3,S92000003,59285.4,36838.24,181544512.2,192179762.8,22477352164,354890798.3,5025081460,1616998252,29666502438
116,2010,2,E12000004,31302.9,19450.72,253553430.4,214602402.4,19772817955,207053087,3516743413,1815783414,25527000272
117,2018,11,E12000001,16365.0777,10168.79,89900198.12,82427206.78,10473113887,161973627.2,1932423714,461618787.5,13111557222
118,2005,9,E12000008,47242.45,29355.1,450916499.4,582810008.5,42873929784,387649649.7,6388126549,2605447713,52837963703
119,2004,6,E12000007,14681.11,9122.42,308670156.6,485436621.8,15777011140,362207847,2336686655,670813208.3,19632155473
120,2010,3,S92000003,59291.31,36841.91,185454486.7,180345404.2,20873878189,403413273.2,3798660463,1585200955,26841498284
121,2006,11,E12000001,16156.41,10039.13,86315862.3,78779492.81,9495436480,176939988.7,1460309650,502915746.2,11714381358
122,1994,10,E12000005,31875.055,19806.24,195897392.4,175482424.5,20876843710,299296921.6,2627762582,1749966416,25729352053
123,2004,4,W92000004,33179.39,20616.72,77817481.28,144599278.7,13576066777,169039213.8,2133420111,795069784.9,16818195165
124,1996,2,E12000004,30849.367,19168.91,201597633.6,169540816,17360223817,204905549.1,2324751911,1809864027,21869286120
125,2003,1,E12000009,49628.6425,30837.81,253187757.7,421609675.9,23612137229,285767682.7,3439855748,1515557847,29274928183
126,1993,3,S92000003,58532.648,36370.5,147289521.1,126434470.8,17677608130,334259805.9,2231033805,1339925595,21709261807
127,2020,1,E12000009,50507.875,31384.14,499565439.9,253279934.6,21096394474,139603651.2,5015562202,1337624424,27842464686
128,2017,7,E12000006,40051.59,24886.9,488392783.6,350087976.7,30632577085,217719054.7,6403100878,2163715725,39767200720
129,2019,3,S92000003,59353.236,36880.39,228023770.7,201536315.1,22833653175,350040023.5,5049381320,1606972279,30041583113
130,2020,11,E12000001,16437.387,10213.72,137805533.5,60078511.7,8437843374,137791449.2,1853705871,405798466.4,10895217672
131,2014,8,E12000003,32033.92,19904.96,315486621.1,225960247.8,21247003269,243755588.3,4123626098,1743722089,27584067292
132,2006,10,E12000005,32739.47,20343.36,207349717.9,227304897,23891243363,320423850,3859687856,1959769191,30258429156
133,2019,9,E12000008,48384.893,30064.98,572699025.5,481230896.2,45571086754,284529964.5,8863098840,2465793126,57665739580
134,2008,2,E12000004,31221.46,19400.12,237421339.5,236381918,19906167484,206598906.7,3482987087,1999907068,25832042464
135,2016,6,E12000007,14833.53,9217.13,436682641.1,497461453.7,15951254954,338716919.8,3366431900,649620605.1,20803485833
136,1994,11,E12000001,15851.442,9849.63,85911913.18,54680847.6,8675831262,173005210.8,1062242114,482424829.6,10448184263
137,2003,7,E12000006,39423.3225,24496.52,410357823.9,384391624,26537626842,309065676.9,4050841873,2146514007,33428440022
138,2011,11,E12000001,16161.4,10042.23,91975999.54,74318908.49,9289449423,159717301.6,1545963887,445521110.3,11514970631
139,1999,10,E12000005,32215.29,20017.65,197937741.1,207422115.5,22789751355,341228221.6,3155118758,1927076706,28420597155
140,2007,9,E12000008,47422.19,29466.78,422209710.5,584281837.6,43132098696,399814825.5,6853877274,2642677286,53612749919
141,2002,5,E12000002,36698.51,22803.4,266618519.4,266726193.2,27423645701,354693153.8,3547387716,2117207312,33709660075
142,1993,9,E12000008,46587.542,28948.16,431674381.6,415232294.6,36748246564,368665175.4,4267145099,2035307740,43834596874
143,1995,8,E12000003,31231.194,19406.16,239478578.8,170862902.5,17548331859,249416575.3,2356723344,1716169268,22041503950
